,Course,Number,"Type of
mark",Mean,SD,"Max.
mark","P
99","P
90","P
75","P
50","P
25"
177,Serbian Continuers,,scaled,23.9,8.8,42.1,,,,,
178,Spanish Beginners,237,HSC,39.9,5.4,49.5,49.0,47.0,44.0,40.0,36.0
179,Spanish Beginners,,scaled,25.6,11.4,50.0,47.7,41.6,34.6,24.6,16.9
180,Spanish Continuers,148,HSC,40.3,4.3,48.0,47.0,45.5,44.0,41.0,37.0
181,Spanish Continuers,,scaled,26.8,10.8,49.6,45.9,41.5,35.6,27.0,18.8
182,Spanish Extension,32,HSC,43.1,4.8,48.0,,,,,
183,Spanish Extension,,scaled,30.8,10.0,48.8,,,,,
184,Turkish Continuers,41,HSC,42.3,4.3,49.0,49.0,47.5,46.5,42.0,39.5
185,Turkish Continuers,,scaled,22.4,13.4,50.0,50.0,41.1,33.6,18.0,13.5
186,Vietnamese Continuers,155,HSC,39.1,4.6,46.0,46.0,44.5,42.5,39.5,37.0
187,Vietnamese Continuers,,scaled,20.9,11.7,47.0,46.7,37.8,29.0,19.3,12.5
188,Automotive Exam,211,HSC,34.2,5.6,48.0,47.0,39.5,37.0,34.5,31.5
189,Automotive Exam,,scaled,13.0,8.7,34.5,34.1,25.0,18.6,11.4,5.8
190,Business Services Exam,"1,176",HSC,37.0,4.9,48.0,46.0,42.5,40.5,37.5,34.0
191,Business Services Exam,,scaled,19.0,10.1,43.5,40.6,32.8,25.9,18.7,11.1
192,Construction Exam,"1,709",HSC,38.3,4.8,48.5,47.0,44.5,42.0,38.5,35.0
193,Construction Exam,,scaled,16.5,9.8,40.4,38.1,31.0,24.2,15.1,8.2
194,Electrotechnology Exam,236,HSC,32.0,6.2,47.0,46.0,39.5,35.5,32.0,28.0
195,Electrotechnology Exam,,scaled,18.3,8.9,39.9,38.2,31.9,23.9,17.7,11.2
196,Entertainment Industry Exam,651,HSC,39.3,5.2,49.5,48.0,45.5,43.5,39.0,36.0
197,Entertainment Industry Exam,,scaled,21.6,9.4,44.4,41.5,34.4,28.7,20.5,14.1
198,Financial Services Exam,77,HSC,35.7,4.6,48.0,48.0,42.5,39.0,35.0,32.5
199,Financial Services Exam,,scaled,24.2,10.5,49.2,49.2,40.2,32.4,21.6,15.9
